NAME	TITLE	SCORE	
REXO1L1P		4.5499167	
ENSG00000255694		4.3281035	
CGA		3.3864546	
HOXA2		3.1574233	
VPS51P13		2.7217143	
LOC101928797		2.57113	
NCCRP1		2.563077	
MFSD2B		2.3738396	
EXOSC10-AS1		2.36535	
NPY5R		2.3606977	
ENSG00000250725		2.2517407	
PRODH		2.2449372	
ENSG00000204807		2.2286541	
ENSG00000248894		2.2211049	
CBFA2T3		2.1900759	
ENSG00000256993		2.1618578	
PSG11		2.1556375	
RNU6-722P		2.1471245	
KLRC1		2.1048026	
HNRNPA1P27		2.101756	
BTF3P9		2.1016133	
ENSG00000232194		2.0993147	
DNAH8		2.0676944	
LVRN		2.0361173	
SLCO1C1		2.0281718	
ENSG00000250658		1.9771762	
RPL23AP24		1.9409939	
CNOT7P2		1.9173722	
DRD4		1.913024	
H2BP3		1.9100864	
H4C10P		1.9088312	
LRRIQ4		1.9027464	
CST1		1.8908782	
SNORD101		1.8894935	
VTRNA1-3		1.8887146	
DLX3		1.8755443	
FSIP2		1.8617055	
ENSG00000250497		1.8585064	
TDRD12		1.8469855	
PSORS1C3		1.8360322	
IBSP		1.8226227	
SLC28A2		1.8220882	
CNGA4		1.8176155	
TUB-AS1		1.8159819	
ENSG00000235236		1.7982368	
RSU1P1		1.7906915	
ENSG00000213863		1.7855899	
DELEC1		1.7823124	
CRLF3P1		1.7822365	
CDHR5		1.7595314	
GALR1		1.751609	
LINC00887		1.7382557	
ENSG00000196774		1.7269009	
OR7D2		1.723749	
SPATA12		1.7219774	
LINC01485		1.706209	
ENSG00000256677		1.6998191	
ENSG00000229519		1.6949884	
ENSG00000244919		1.6714795	
ENSG00000237198		1.6659361	
SNORA79B		1.6610926	
ENSG00000248774		1.647364	
ENSG00000213650		1.6383858	
P2RX2		1.6211925	
CYP4F29P		1.6190598	
ENSG00000241482		1.6182662	
DNAJC5B		1.6176823	
ZNF775-AS1		1.6168394	
HOTAIRM1		1.5866545	
EIF4EP1		1.5808316	
H2BC11		1.5713211	
ENSG00000248583		1.5708841	
STAC3		1.5672501	
ENSG00000240185		1.5659862	
ENSG00000256541		1.5640831	
CDIPTOSP		1.553692	
NPM1P8		1.549525	
ZNF285BP		1.5458262	
FFAR4		1.5424161	
LINC01770		1.5193957	
ENSG00000236743		1.5192933	
LSMEM2		1.5165343	
FAM138B		1.515708	
MPPED2-AS1		1.5143149	
UBA52P3		1.5052061	
PPIAP67		1.5006593	
IGSF10		1.5002289	
MTND4P26		1.4976981	
NUTM2E		1.4970672	
LOC651644		1.4936966	
FOXI3		1.4911982	
RNU6-611P		1.4877107	
ENSG00000224066		1.4862292	
ENSG00000234866		1.4813796	
NKX2-2		1.4740433	
FBXO24		1.4600765	
FASLG		1.4449817	
LINC01275		1.4395696	
ENSG00000198339		1.432697	
ASCL2		1.4282141	
LOC105376070		1.4259845	
ENSG00000233081		1.4169592	
ENSG00000223821		1.4153298	
ENSG00000205509		1.4145567	
VIPR2		1.4137574	
ENSG00000230289		1.4105973	
INTS6-AS1		1.4083916	
RN7SL130P		1.4037476	
LOC107986237		1.402956	
ENSG00000230732		1.3938473	
HLA-DRB5		1.3870265	
LINC02643		1.3843255	
ENSG00000229930		1.3792	
SSPN-AS1		1.3768756	
OR7E116P		1.3759612	
ENSG00000228172		1.3644903	
ENSG00000255940		1.3637283	
RPL17P43		1.3578837	
HIVEP2-DT		1.3575228	
ENSG00000256647		1.3544288	
PDXDC2P		1.3499454	
ENSG00000224474		1.3472857	
CSMD3		1.3470088	
MUC16		1.3451142	
ENSG00000116219		1.3413548	
LOC105371824		1.3410065	
ZNF849P		1.3362907	
SLC9A4		1.3343424	
ENSG00000252817		1.3339957	
RNU6-195P		1.3336641	
ENSG00000152487		1.3323407	
IPCEF1		1.329347	
LINC01058		1.3289454	
PSPC1-AS2		1.3258804	
OXGR1		1.3251277	
ENSG00000207966		1.3233441	
HS6ST3		1.3227402	
ATP6V0D2		1.3220091	
GAPDHP33		1.3182786	
MEP1A		1.3158534	
RASGRF1		1.3156983	
RNU6-415P		1.3128132	
ENSG00000225425		1.3118209	
PWWP3B		1.3103622	
ELOVL3		1.3088567	
ENSG00000203276		1.308536	
FOXO6-AS1		1.3052936	
TPI1P3		1.2980924	
MED8-AS1		1.296589	
TNFSF9		1.2859772	
GASK1B-AS1		1.2836142	
ENSG00000248240		1.2808267	
ENSG00000231073		1.2806159	
ENSG00000225771		1.2785717	
LOC124904411		1.2708068	
OMG		1.2682717	
KEL		1.2661378	
PCSK6		1.2609273	
ENSG00000246650		1.2594013	
CES3		1.2559501	
ENSG00000233995		1.2558246	
ENSG00000250784		1.2544003	
ENSG00000247061		1.249959	
PGLYRP3		1.2487288	
ENSG00000244117		1.2486562	
ENSG00000196355		1.2462636	
RPS15AP36		1.2454166	
SPINK4		1.2426175	
PCDHA2		1.2404997	
RPLP1P13		1.2404445	
HAUS7		1.2392212	
SREK1IP1P1		1.2343471	
ALG1L1P		1.2335907	
ENSG00000179251		1.2317723	
ENSG00000249907		1.2262793	
NDUFB2-AS1		1.225337	
ENSG00000170409		1.2231857	
RNU6-510P		1.218145	
DEFB131E		1.2169243	
PTGDS		1.2134422	
AMY1B		1.2121542	
LINC01165		1.2113826	
ENSG00000256718		1.2080942	
LRCOL1		1.205383	
FAM209B		1.2043295	
NPM1P37		1.2018244	
NR0B2		1.2014619	
OIT3		1.2011583	
KLK10		1.1965094	
NPM1P26		1.1879307	
ENSG00000257088		1.1873653	
RNA5SP383		1.1860595	
MIR760		1.1852376	
ANXA13		1.1844661	
CAMK1G		1.1843281	
DAPP1		1.1834112	
TCERG1L		1.1829667	
DDX39BP2		1.1790359	
BNIPL		1.1755714	
MESP1		1.1750184	
WAPL-DT		1.1749166	
ENSG00000234811		1.1744008	
SNORA3B		1.1733131	
ENSG00000244250		1.1702353	
GJD4		1.1699	
HDAC2-AS2		1.1674503	
FLJ33534		1.1657444	
ENSG00000231393		1.1650728	
RPS20P33		1.1605426	
RPS26P8		1.1583296	
PNPLA1		1.157591	
ENSG00000246458		1.1574773	
ENSG00000237371		1.1556306	
CWH43		1.1553978	
FAM221B		1.14742	
GAPDHP35		1.1473953	
LINC02924		1.1467602	
ENSG00000188888		1.1457422	
CSPG4BP		1.1456968	
PLPP4		1.1456196	
ENSG00000219159		1.1423668	
ENSG00000203614		1.1409026	
SNORA55		1.1359291	
ENSG00000199654		1.1353145	
CHIAP1		1.1338916	
SACS-AS1		1.1314533	
ENSG00000249598		1.1242464	
ENPP3		1.1228573	
TTC12-DT		1.1215826	
TMC2		1.1197013	
MUC15		1.1192751	
SNORD14E		1.1190362	
ENSG00000256296		1.116519	
C1orf116		1.1159947	
RPL13P8		1.115688	
MUC13		1.115447	
STX5-DT		1.1151003	
H2BC26		1.1108936	
ENSG00000244964		1.1105835	
ENSG00000248126		1.1085527	
ASIC4-AS1		1.1054084	
GP1BB		1.1047789	
TMA16P1		1.1042533	
LOC101927827		1.1027751	
RDH10-AS1		1.102714	
ENSG00000233547		1.1024628	
ENSG00000242569		1.0999957	
ZNF705D		1.0990992	
PKD1L2		1.098166	
RPLP0P3		1.0971073	
ENSG00000255026		1.096687	
ENSG00000165390		1.0960447	
SERBP1P3		1.0926007	
ENSG00000208317		1.0907117	
ENSG00000235475		1.088065	
ENSG00000256877		1.0845244	
EFCAB8		1.0817647	
ENSG00000241238		1.0816697	
ENSG00000248794		1.0809817	
ENSG00000235795		1.0808117	
ENSG00000231121		1.0798315	
SLC22A14		1.0776956	
HES2		1.0765994	
ENSG00000235351		1.0762407	
CCDC13		1.0759853	
ENSG00000253197		1.0750554	
KRT18P48		1.0686038	
ENSG00000226669		1.0682124	
ZDHHC20-IT1		1.067933	
FAM86KP		1.0661098	
ENSG00000235617		1.065967	
ENSG00000197550		1.0622554	
SNORA7B		1.0603709	
ENSG00000240618		1.060314	
HNRNPDLP2		1.0595531	
TRIM58		1.0565249	
LOC402229		1.0557504	
ENSG00000246979		1.0533264	
MRTFA-AS1		1.0523839	
SLC2A14		1.0474968	
LOC645482		1.0463107	
CSMD1		1.0461506	
LOC124903827		1.0453863	
FGF9		1.0433758	
C7orf25		1.0417304	
ENSG00000255331		1.0393537	
FLNC-AS1		1.0365386	
ACRP1		1.0330547	
RPL21P105		1.0310874	
LANCL3		1.0300932	
ENSG00000256584		1.029662	
ENSG00000226040		1.0295589	
ENSG00000231295		1.0275555	
SMIM24		1.0271168	
JMJD7		1.0265548	
ADCY10		1.0246598	
CYP3A5		1.0244493	
SMOC1		1.024066	
ENSG00000243768		1.024056	
RN7SKP173		1.0237591	
MMEL1		1.0216684	
RHBDL1		1.0171252	
LINC02714		1.0167285	
ENSG00000227971		1.0166283	
ENSG00000233665		1.014852	
LPA		1.0122623	
SEC14L5		1.0118212	
NEU4		1.0090157	
ENSG00000203849		1.0073127	
ENSG00000253897		1.0036644	
ENSG00000224900		1.003197	
RPL12P14		1.0029205	
ENSG00000251775		1.0006846	
SCNN1A		0.99904275	
C5AR2		0.9987468	
CHRNA6		0.9982119	
AKR7A3		0.9979779	
ANKRD36BP2		0.99435765	
ENSG00000240414		0.9941303	
CPB2-AS1		0.9938974	
LOC101927708		0.9927723	
ENSG00000243190		0.99160105	
TTR		0.9914159	
CT66		0.99114746	
ENSG00000196737		0.99029034	
ENSG00000231519		0.9883636	
ENSG00000203825		0.9882753	
ACSM6		0.98765874	
TBX22		0.98638433	
LOC102724323		0.9834753	
SOCS5P4		0.9827255	
ENSG00000256645		0.9822943	
PSME2P3		0.97917175	
KCNV1		0.9758723	
LINC01678		0.9752532	
KRT18P16		0.9733327	
KRT15		0.97306967	
GLYATL1		0.9719416	
MIR200B		0.97047675	
ASS1P1		0.96742177	
CAPN8		0.9668367	
ENSG00000237240		0.9661528	
MIR421		0.9649544	
CASQ1		0.96404886	
FOXQ1		0.95957655	
CD80		0.9577406	
CR2		0.95645165	
PTGER1		0.95399964	
ENSG00000232032		0.9537662	
FOCAD-AS1		0.9525728	
CIMIP2A		0.9508102	
ENSG00000228651		0.95004636	
SNORA68		0.9432061	
TREML1		0.94252914	
RN7SL724P		0.9401265	
MIR647		0.9392158	
CALY		0.9358913	
ENSG00000236140		0.93441033	
FAM133FP		0.9338992	
TSPAN32		0.93374366	
RNU6-1285P		0.9318934	
PABPN1P2		0.929647	
NECTIN4		0.92868304	
NUDT16-DT		0.92832744	
RNF17		0.9274704	
ENSG00000226849		0.9272986	
ENSG00000250240		0.9264711	
ENSG00000147402		0.9227451	
MLLT10P1		0.9217139	
KIF28P		0.92154896	
KCNG1		0.9208239	
PAFAH1B2P1		0.91944563	
EMP2P1		0.9191172	
LRP2BP-AS1		0.9183376	
LINC00707		0.915109	
XDH		0.913174	
TDRKH-AS1		0.9116351	
TM4SF19-AS1		0.9114316	
ENSG00000215840		0.910944	
ACTBL2		0.9104447	
ABCC2		0.9102054	
CKM		0.90961486	
ENSG00000245949		0.9075566	
ENSG00000254801		0.90647155	
TAS2R15P		0.90641975	
USP8P2		0.90624803	
LRIT3		0.9050367	
RPL21P53		0.90175176	
OR7E102P		0.9014488	
SAR1AP3		0.8976009	
FMR1-IT1		0.8975115	
RPL6P26		0.8952174	
LBX1-AS1		0.8931935	
MCTS2		0.8924502	
RPA2P2		0.8923407	
MCMDC2		0.8904292	
RRH		0.88906264	
GNB1-DT		0.88889647	
ZNF101P2		0.8866277	
ENSG00000255351		0.8843379	
TRBJ2-2P		0.8828369	
MYCL		0.8824869	
SDR16C5		0.87882876	
ENSG00000235872		0.8769768	
NPM1P12		0.8764831	
GRPEL2-AS1		0.87605274	
MIR590		0.87563777	
MIR616		0.87381244	
GPC1-AS1		0.8723995	
DUXAP10		0.87239873	
SNX18P13		0.8718979	
MYH9-DT		0.87169784	
RPL12P7		0.8707452	
FITM1		0.87019473	
ENSG00000224635		0.869331	
ENSG00000234543		0.8690344	
KIZ-AS1		0.8618384	
ENSG00000197815		0.8614613	
SMCO2		0.8590694	
ENSG00000229747		0.8584753	
FLRT2		0.8572963	
CLEC3B		0.85721993	
POU5F1B		0.85681325	
SEC13P1		0.8567835	
LRRC71		0.8567399	
SRGAP3		0.85573304	
ENSG00000200127		0.85486555	
ABCB6		0.854707	
LOC643342		0.8544677	
ENSG00000206549		0.8541912	
MESP2		0.8540877	
ENSG00000180812		0.8530568	
ENSG00000246032		0.8525643	
EIF4HP2		0.8520348	
FAM157A		0.8510607	
LENG8-AS1		0.8505929	
ENSG00000232043		0.84840125	
ENSG00000256336		0.84719527	
GRIN2A		0.8461219	
MRPS21P6		0.8457564	
MGC16275		0.8449051	
ENSG00000256644		0.8436463	
ANKRD55		0.840943	
ABCC13		0.83952606	
ENSG00000226310		0.8393572	
DEFB109A		0.8387731	
DUSP8P5		0.8385556	
GOLGA8G		0.838137	
SLC34A3		0.83789366	
NTAN1P2		0.8375759	
ENSG00000196390		0.83392805	
ENSG00000241107		0.83312595	
AK3P6		0.82923025	
PRDX3P4		0.82841396	
LINC01160		0.82837605	
ENSG00000228671		0.827064	
ENSG00000256529		0.82559484	
ENSG00000238240		0.8252859	
ENSG00000186807		0.8224284	
ENSG00000235499		0.8213456	
ENSG00000242384		0.81895196	
NEURL1		0.81829923	
ENSG00000131484		0.8181277	
ENSG00000205959		0.8162063	
SSBP3P2		0.8144905	
