NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000109189	6319	0.10425911098718643	-0.25833064	No	
row_1	ENSG00000112096	8072	0.05793292447924614	-0.3295266	No	
row_2	ENSG00000185499	8534	0.044418469071388245	-0.34782946	No	
row_3	ENSG00000188352	9407	0.019651668146252632	-0.38340047	No	
row_4	ENSG00000124177	9932	0.002513111336156726	-0.40491295	No	
row_5	ENSG00000118402	10738	-0.024654781445860863	-0.4376547	No	
row_6	ENSG00000106351	10773	-0.025800621137022972	-0.438672	No	
row_7	ENSG00000133639	11501	-0.051254428923130035	-0.46781322	No	
row_8	ENSG00000116678	11783	-0.0633157417178154	-0.47843453	No	
row_9	ENSG00000226887	11880	-0.06693290174007416	-0.4813943	No	
row_10	ENSG00000168386	11957	-0.07073730230331421	-0.48347536	No	
row_11	ENSG00000136147	12107	-0.07662113755941391	-0.4884717	No	
row_12	ENSG00000153827	12819	-0.10903708636760712	-0.5161018	No	
row_13	ENSG00000069869	12903	-0.11321960389614105	-0.5178434	No	
row_14	ENSG00000075790	13182	-0.12797479331493378	-0.52738667	No	
row_15	ENSG00000075539	13196	-0.12925900518894196	-0.5260128	No	
row_16	ENSG00000189060	13237	-0.1312834620475769	-0.52571934	No	
row_17	ENSG00000252666	13362	-0.13760504126548767	-0.52878714	No	
row_18	ENSG00000164597	13509	-0.14650247991085052	-0.5326283	No	
row_19	ENSG00000181264	13818	-0.16495895385742188	-0.5428592	No	
row_20	ENSG00000243649	13963	-0.17328882217407227	-0.5462226	No	
row_21	ENSG00000173706	14023	-0.1760954111814499	-0.54604894	No	
row_22	ENSG00000020577	14052	-0.1779424399137497	-0.54457307	No	
row_23	ENSG00000069849	14058	-0.17819654941558838	-0.54214764	No	
row_24	ENSG00000035928	14063	-0.17839276790618896	-0.5396781	No	
row_25	ENSG00000101974	14123	-0.18272238969802856	-0.5394066	No	
row_26	ENSG00000155111	14196	-0.18848830461502075	-0.5395846	No	
row_27	ENSG00000241878	14225	-0.1900520622730255	-0.5379299	No	
row_28	ENSG00000139372	14738	-0.22270631790161133	-0.55569774	No	
row_29	ENSG00000146376	15000	-0.2415284812450409	-0.5628652	No	
row_30	ENSG00000221869	15185	-0.2559947371482849	-0.5666524	No	
row_31	ENSG00000066468	15221	-0.2580662667751312	-0.56428146	No	
row_32	ENSG00000213694	15335	-0.2669535279273987	-0.564987	No	
row_33	ENSG00000092020	15473	-0.27928438782691956	-0.56649745	No	
row_34	ENSG00000102547	15491	-0.2807697057723999	-0.563051	No	
row_35	ENSG00000170525	15701	-0.29691967368125916	-0.5672621	No	
row_36	ENSG00000143799	15711	-0.2982104420661926	-0.56322914	No	
row_37	ENSG00000123200	15718	-0.29908767342567444	-0.5590598	No	
row_38	ENSG00000183668	15801	-0.3056112825870514	-0.5579197	No	
row_39	ENSG00000087053	15818	-0.3070245683193207	-0.5540444	No	
row_40	ENSG00000100906	15898	-0.3132583200931549	-0.55266804	No	
row_41	ENSG00000117632	16048	-0.32658857107162476	-0.55397356	No	
row_42	ENSG00000136144	16139	-0.33455890417099	-0.55273503	No	
row_43	ENSG00000111328	16347	-0.35350215435028076	-0.5560284	No	
row_44	ENSG00000143153	16376	-0.35614314675331116	-0.5519214	No	
row_45	ENSG00000184292	16852	-0.4029496908187866	-0.5655063	No	
row_46	ENSG00000243927	17044	-0.4219852089881897	-0.56713057	No	
row_47	ENSG00000111907	17082	-0.42624059319496155	-0.5623587	No	
row_48	ENSG00000120129	17223	-0.44109755754470825	-0.56160337	No	
row_49	ENSG00000100612	17703	-0.4938707947731018	-0.57401025	Yes	
row_50	ENSG00000152952	17781	-0.5026910305023193	-0.5697546	Yes	
row_51	ENSG00000154734	17839	-0.5091606378555298	-0.5645809	Yes	
row_52	ENSG00000138772	18222	-0.5586631894111633	-0.572042	Yes	
row_53	ENSG00000227105	18238	-0.5608879327774048	-0.5643773	Yes	
row_54	ENSG00000101335	18246	-0.5618343949317932	-0.5563696	Yes	
row_55	ENSG00000205542	18275	-0.5652116537094116	-0.54917574	Yes	
row_56	ENSG00000136153	18316	-0.5708067417144775	-0.5423927	Yes	
row_57	ENSG00000072110	18623	-0.6103223562240601	-0.5459655	Yes	
row_58	ENSG00000115419	18783	-0.6335468888282776	-0.54315	Yes	
row_59	ENSG00000169213	18922	-0.6552752256393433	-0.53915006	Yes	
row_60	ENSG00000122862	19082	-0.6783475875854492	-0.5356731	Yes	
row_61	ENSG00000142192	19241	-0.7061933875083923	-0.5317438	Yes	
row_62	ENSG00000145244	19412	-0.7318245768547058	-0.52792966	Yes	
row_63	ENSG00000168014	19516	-0.748376727104187	-0.52111566	Yes	
row_64	ENSG00000092969	19926	-0.8265224099159241	-0.52573216	Yes	
row_65	ENSG00000233705	20439	-0.9266437292098999	-0.53310627	Yes	
row_66	ENSG00000105655	20497	-0.9377875924110413	-0.5216038	Yes	
row_67	ENSG00000169429	20642	-0.9688259363174438	-0.513221	Yes	
row_68	ENSG00000122641	20745	-0.9909117817878723	-0.50278485	Yes	
row_69	ENSG00000110723	20751	-0.9917308688163757	-0.48834747	Yes	
row_70	ENSG00000111799	20824	-1.005956768989563	-0.4764554	Yes	
row_71	ENSG00000005108	20826	-1.0060629844665527	-0.46164188	Yes	
row_72	ENSG00000196167	20853	-1.0120620727539062	-0.4477679	Yes	
row_73	ENSG00000137331	20958	-1.0351206064224243	-0.43676126	Yes	
row_74	ENSG00000120217	20988	-1.0408177375793457	-0.42258608	Yes	
