row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PTPRN	427.3008876716825	-5.62433680611065	1.200736490125672	-4.684072527455206	2.812304227191701e-6	0.012668145853476928
MAOB	178.94593030824745	-4.11141553331219	1.0347293934719168	-3.9734210309004587	7.084765410158778e-5	0.029647273538260226
CHGB	1858.6185150074737	-4.741786446876059	1.0844543621856337	-4.37250898905451	1.2282675821936674e-5	0.015320735208325461
NEFH	355.708055391205	-6.2327665840686475	1.3587295072663714	-4.587201904968086	4.492261864915142e-6	0.012803167303844556
PXMP4	259.6764201112062	-5.510487222034687	1.1553221598750456	-4.769654225822758	1.8454241022299581e-6	0.012668145853476928
SYP	421.8027890916473	-4.061647861620692	0.993889012217275	-4.0866211535627395	4.3770096709760625e-5	0.0274659436488638
SCG3	275.7004728622291	-5.510683642811224	1.3707239618881137	-4.020272349525788	5.813089910434593e-5	0.0274659436488638
ATP1A3	652.6255541785268	-6.1331940251696535	1.3730910529301261	-4.466705985798714	7.943317797433256e-6	0.014028781821133512
OGN	253.17138416096049	-5.624244429121808	1.3730555527372166	-4.096152131579639	4.2007393567981264e-5	0.0274659436488638
RGS4	592.2344724050231	-4.5004684829367	1.0646018144044542	-4.227372546283226	2.364360215178943e-5	0.021142754855394907
GDA	870.1287157677107	-6.283631572647867	1.5307444008880504	-4.10495153142645	4.043996596624868e-5	0.0274659436488638
SLC12A5	57.46107940905023	-5.155461818254277	1.3316079843897413	-3.871606267528471	1.0812050133002948e-4	0.03736033410088736
GDAP1L1	56.74815579606122	-4.77214930318929	1.1846459824841238	-4.028333674151674	5.6173580274862367e-5	0.0274659436488638
HSPA2	1507.7306793360858	-3.981999678785415	0.9422073726797553	-4.226245510539905	2.376227301036512e-5	0.021142754855394907
CBFA2T3	9.853863613803181	2.6898588597849646	0.6746753293126653	3.9868937589955973	6.694398374163833e-5	0.029647273538260226
UNC13A	515.2862557951988	-4.165099696154632	1.032325973030638	-4.0346749040198935	5.467794836339835e-5	0.0274659436488638
FBP2	208.24977486479472	-6.132020745464432	1.3511573884248165	-4.538346752196768	5.669697624385213e-6	0.012803167303844556
CGA	8.928702554708702	3.3835480856883375	0.7263446710770177	4.6583229979112275	3.187957434030054e-6	0.012668145853476928
SHISAL1	806.3346285217567	-5.261943908483867	1.2794989727646335	-4.112503425551255	3.913916613714617e-5	0.0274659436488638
IGLON5	68.11599878622603	-5.775317171018166	1.437442276005791	-4.0177732820451	5.87506816018477e-5	0.0274659436488638
CPLX2	289.5687496348979	-5.914137502538571	1.3109676950861955	-4.5112763073461695	6.443871559028402e-6	0.012803167303844556
CYP17A1	97.88948783770826	-2.6428680144091397	0.5969371843363344	-4.4273804409545034	9.538441134296586e-6	0.015161352182964424
INA	189.80994719721605	-4.557326786907643	1.17910679546598	-3.86506701889255	1.1105870055514466e-4	0.03755910734731967
ENSG00000150526	201.95922359192053	-5.712218772669646	1.3521510301085038	-4.224541967187842	2.394272333419996e-5	0.021142754855394907
DLG2	439.77590749661783	-3.8286624892442354	0.9706767263607015	-3.944322950441806	8.00257519550599e-5	0.03180023318314193
GFRA1	1183.230447885441	-4.714027390273441	1.1058909732755486	-4.262651114974671	2.020157952103614e-5	0.021142754855394907
WNT9B	516.6110358721946	-5.571414698733207	1.1932971262112415	-4.6689249277107	3.0277998568724384e-6	0.012668145853476928
CHRNB2	171.41423877384275	-5.548841121355843	1.3782994421702113	-4.025860383879192	5.676736521593646e-5	0.0274659436488638
CCDC141	230.89279653690286	-5.83033829551274	1.409745597327761	-4.135737899493654	3.538158485435871e-5	0.0274659436488638
FREM1	93.14601340210422	-5.114963383829737	1.2848741727022006	-3.9809060626322115	6.865307815952697e-5	0.029647273538260226
MSS51	828.9002421974533	-4.1486560406702155	1.0199177711619274	-4.067637762546206	4.749213195275286e-5	0.0274659436488638
TMEM145	181.3758694753568	-4.708512889865292	1.1038360274919932	-4.265590878170033	1.9937383722789213e-5	0.021142754855394907
CD24P4	303.36900508528316	-4.1940456247835405	1.0934981871510314	-3.8354390286741906	1.2534019847994205e-4	0.04150588447580581
IGFL3	14.35813039143315	-5.696280155415156	1.3523256457782353	-4.212210404496962	2.5288381939097895e-5	0.021155727943261107
PTPRT	353.7398536070738	-6.067420444349706	1.543440659218969	-3.9311005629591342	8.455789119350899e-5	0.032781650744410376
DPP4	1353.359454608321	-3.9852114319912504	0.9788510494513241	-4.071315481783549	4.674838506436091e-5	0.0274659436488638
HLA-DRB5	35.34211629894965	1.7942677761356125	0.4451919084014532	4.030324321433143	5.569994598308841e-5	0.0274659436488638
PRB4	69.46531536971061	-8.036404715631564	1.9995173540892381	-4.019172276347695	5.84029564670118e-5	0.0274659436488638
AKAIN1	76.54631260456186	-5.680818507577734	1.4297406159117285	-3.973321065622203	7.087740764101218e-5	0.029647273538260226
LINC00649	199.9288761619246	-4.540252984213331	1.1064603930787404	-4.103403079417979	4.071170463797161e-5	0.0274659436488638
PCDHA10	141.89839921009187	-4.555114553397723	1.152166686111619	-3.9535204483046775	7.700967927671496e-5	0.0313863808231637
ENSG00000250533	121.39723050444543	-5.645266330197533	1.2422634538891413	-4.544339055072381	5.510789425064861e-6	0.012803167303844556
